Rent,Neighborhood,Title,Posting Date,URL,Bed/Bath
$1750,Wakefield,One Bedroom Apartment  for rent Feb/1st/2020,Mon 27 Jan 11:01:50 PM,https://boston.craigslist.org/nos/apa/d/wakefield-one-bedroom-apartment-for/7064404170.html,1BR / 1Ba
$2250,Allston,2 Bedroom w/laundry In-Unit! Avail. 4/1,Mon 27 Jan 10:55:15 PM,https://boston.craigslist.org/gbs/apa/d/allston-2-bedroom-laundry-in-unit-avail/7064402163.html,2BR / 1Ba
$1895,Chelsea,"ONLY $500 SECURITY !! STEPS TO SILVER, BLUE & ORANGE BUS LINES !!",Mon 27 Jan 10:41:06 PM,https://boston.craigslist.org/nos/apa/d/chelsea-only-500-security-steps-to/7064397541.html,3BR / 1Ba
$2200,Fenway,Stunning Fenway 2 Room Studio! Right near Northeastern!,Mon 27 Jan 10:24:04 PM,https://boston.craigslist.org/gbs/apa/d/boston-stunning-fenway-2-room-studio/7064391743.html,0BR / 1Ba
$2150,Boston,Charming South End Apartment - Furnished,Mon 27 Jan 10:17:05 PM,https://boston.craigslist.org/gbs/apa/d/boston-charming-south-end-apartment/7064389289.html,1BR / 1Ba
$1895,Chelsea,"TRANSPORTATION EVERYWHERE !! STEPS TO SILVER, BLUE & ORANGE LINES !!",Mon 27 Jan 10:11:29 PM,https://boston.craigslist.org/nos/apa/d/chelsea-transportation-everywhere-steps/7064387329.html,3BR / 1Ba
$1895,Chelsea,AVAILABLE NOW ! FREE WASHER & DRYER ! ONLY $500 SECURITY !,Mon 27 Jan 10:09:44 PM,https://boston.craigslist.org/nos/apa/d/chelsea-available-now-free-washer-dryer/7064386709.html,3BR / 1Ba
$1895,Chelsea,STAY SHORT TERM OR LONG TERM !! AVAILABLE NOW !!,Mon 27 Jan 10:08:12 PM,https://boston.craigslist.org/nos/apa/d/chelsea-stay-short-term-or-long-term/7064386153.html,3BR / 1Ba
$1895,Chelsea,"STEPS TO SILVER, BLUE & ORANGE LINE BUSES !! AVAILABLE NOW !!",Mon 27 Jan 10:05:22 PM,https://boston.craigslist.org/nos/apa/d/chelsea-steps-to-silver-blue-orange/7064385252.html,3BR / 1Ba
$1895,Chelsea,FREE & PRIVATE WASHER & DRYER IN APARTMENT !! ONLY $500 SECURITY !!,Mon 27 Jan 10:02:11 PM,https://boston.craigslist.org/nos/apa/d/chelsea-free-private-washer-dryer-in/7064384106.html,3BR / 1Ba
$2400,Jamaica Plain,3-bedroom in desirable Hyde Square,Mon 27 Jan 10:01:47 PM,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-3-bedroom-in-desirable/7064383964.html,3BR / 1Ba
$2100,Fenway,Fantastic Fenway 2 Room Studio! HT/HW Included!,Mon 27 Jan 09:38:16 PM,https://boston.craigslist.org/gbs/apa/d/boston-fantastic-fenway-2-room-studio/7064374818.html,0BR / 1Ba
$2400,"Powder House Square, Somerville",LEASE BREAK - sunny & warm near Davis Sq - NO FEE - Avail now!,Mon 27 Jan 09:17:09 PM,https://boston.craigslist.org/gbs/apa/d/somerville-lease-break-sunny-warm-near/7064366224.html,2BR / 1Ba
$2300,Everett,Large 3 Bedroom Apartment with Parking,Mon 27 Jan 09:05:24 PM,https://boston.craigslist.org/gbs/apa/d/everett-large-3-bedroom-apartment-with/7064361384.html,3BR / 1Ba
$3000,Seven hill JFK,Beautiful Victorian house,Mon 27 Jan 09:03:45 PM,https://boston.craigslist.org/gbs/apa/d/roxbury-beautiful-victorian-house/7064360683.html,3BR / 1Ba
$2850,Savinhill/jfk  dorchester,New construction condo never lived in!,Mon 27 Jan 09:01:58 PM,https://boston.craigslist.org/gbs/apa/d/dorchester-center-new-construction/7064359853.html,1BR / 1Ba
$1800,Haverhill ma,Large new 3 bedroom apt,Mon 27 Jan 08:41:43 PM,https://boston.craigslist.org/nwb/apa/d/methuen-large-new-3-bedroom-apt/7064350657.html,3BR / 1Ba
$1900,North Cambridge,2 Room furnished Apartment at Davis Square,Mon 27 Jan 07:59:38 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-2-room-furnished-apartment-at/7064330578.html,available feb 7
$3100,Mission Hill,Newly Renovated 2 Bedroom - Great Location!,Mon 27 Jan 07:45:41 PM,https://boston.craigslist.org/gbs/apa/d/roxbury-crossing-newly-renovated-2/7064323378.html,2BR / 1Ba
$3075,South End,South End - 2 Bedrooms - only $2527.5 fee! Save $547.5,Mon 27 Jan 07:44:33 PM,https://boston.craigslist.org/gbs/apa/d/boston-south-end-2-bedrooms-only-fee/7064322757.html,2BR / 1Ba
$1600,Winthrop,Heat and Hot Water included - Parking,Mon 27 Jan 07:41:58 PM,https://boston.craigslist.org/gbs/apa/d/winthrop-heat-and-hot-water-included/7064321522.html,1BR / 1Ba
$1600,Winthrop,Swimming pool - Elevator - Parking - All utilities included,Mon 27 Jan 07:39:49 PM,https://boston.craigslist.org/gbs/apa/d/winthrop-swimming-pool-elevator-parking/7064320324.html,1BR / 1Ba
$1700,Melrose,Eat in kitchen - Hdwd floors - Laundry Hook-ups,Mon 27 Jan 07:36:14 PM,https://boston.craigslist.org/gbs/apa/d/melrose-eat-in-kitchen-hdwd-floors/7064318313.html,2BR / 1Ba
$1750,Revere,Heat and hot water included - Parking - Coin op laundry,Mon 27 Jan 07:34:13 PM,https://boston.craigslist.org/gbs/apa/d/revere-heat-and-hot-water-included/7064317215.html,2BR / 1Ba
$2500,Malden,Very convenient location - Totally renovated - Laundromat close by,Mon 27 Jan 07:33:11 PM,https://boston.craigslist.org/gbs/apa/d/malden-very-convenient-location-totally/7064316662.html,3BR / 1Ba
$1600,Chelsea,Heat and hot water included - Parking  - Pet friendly,Mon 27 Jan 07:25:40 PM,https://boston.craigslist.org/gbs/apa/d/chelsea-heat-and-hot-water-included/7064312616.html,1BR / 1Ba
$1600,Winthrop,Swimming pool - Elevator - Parking,Mon 27 Jan 07:22:39 PM,https://boston.craigslist.org/gbs/apa/d/winthrop-swimming-pool-elevator-parking/7064311081.html,1BR / 1Ba
$1600,NEEDHAM,"BEST DEAL IN CONDO BUILDING, 1 BED WD FL HEAT/HOT WATER AND 1 PKG INCL",Mon 27 Jan 07:11:53 PM,https://boston.craigslist.org/bmw/apa/d/needham-heights-best-deal-in-condo/7064305480.html,1BR / 1Ba
$1550,NEWTON,"BEST DEAL NEWTON, 3RD FL 1 BED INCLUDES HEAT/HOT WATER AND 1 PARKING",Mon 27 Jan 06:58:09 PM,https://boston.craigslist.org/bmw/apa/d/newtonville-best-deal-newton-3rd-fl-1/7064297982.html,1BR / 1Ba
$1150,lowell,Spacious studio apartment,Mon 27 Jan 06:39:24 PM,https://boston.craigslist.org/nwb/apa/d/lowell-spacious-studio-apartment/7064287491.html,1BR / 1Ba
$1150,Lowell,Beautiful 1 bedroom apartment,Mon 27 Jan 06:38:09 PM,https://boston.craigslist.org/nwb/apa/d/lowell-beautiful-1-bedroom-apartment/7064286815.html,0BR / 1Ba
$1850,Woburn,2 bedroom apartment,Mon 27 Jan 06:37:00 PM,https://boston.craigslist.org/nwb/apa/d/woburn-2-bedroom-apartment/7064286126.html,2BR / 1Ba
$2500,Whitman,4 bedroom 2-1/2 baths,Mon 27 Jan 06:19:26 PM,https://boston.craigslist.org/sob/apa/d/whitman-4-bedroom-baths/7064275746.html,4BR / 2.5Ba
$1100,Lowell,1 Bedroom Apartment Highlands,Mon 27 Jan 06:10:48 PM,https://boston.craigslist.org/nwb/apa/d/lowell-1-bedroom-apartment-highlands/7064270633.html,1BR / 1Ba
$2000,Whitman,2+ bedroom with walk in closet or office,Mon 27 Jan 06:10:15 PM,https://boston.craigslist.org/sob/apa/d/whitman-2-bedroom-with-walk-in-closet/7064270343.html,2BR / 1Ba
$1400,Beverly,Centrally located 2 Bedroom Apt,Mon 27 Jan 06:01:39 PM,https://boston.craigslist.org/nos/apa/d/beverly-centrally-located-2-bedroom-apt/7064264815.html,2BR / 1Ba
$2495,Quincy Wollaston,Sunny Furnished Apartment - Walk to Red Line Train Wollaston,Mon 27 Jan 05:52:16 PM,https://boston.craigslist.org/sob/apa/d/quincy-sunny-furnished-apartment-walk/7064259135.html,2BR / 0Ba
$1450,Boston - Allston,"March 1st, Great Studio, Sunny & Large, H/HW Included, Near Bus&Train",Mon 27 Jan 05:45:10 PM,https://boston.craigslist.org/gbs/apa/d/allston-march-1st-great-studio-sunny/7064254580.html,0BR / 1Ba
$2200,Boston - Brighton - Oak Square,"Large 2Bed w/Laundry in Unit, Living Room, Dining Room & Office, PRKG",Mon 27 Jan 05:40:36 PM,https://boston.craigslist.org/gbs/apa/d/newton-large-2bed-laundry-in-unit/7064251683.html,2BR / 1Ba
$2600,Watertown,"2Bed + Office, 1.5 Baths, 2 Parking, Central AC, Full Basement, NewEIK",Mon 27 Jan 05:32:41 PM,https://boston.craigslist.org/gbs/apa/d/watertown-2bed-office-15-baths-2/7064246366.html,2BR / 1.5Ba
$1750,Somerville,Spacious & Renovated On The Cambridge Line!,Mon 27 Jan 05:32:39 PM,https://boston.craigslist.org/gbs/apa/d/somerville-spacious-renovated-on-the/7064246333.html,1BR / 1Ba
$1815,Boston - Fenway/Longwood,"Beautiful Studio, Stainless/Granite Kitchen, HWF, H/HW Incl, June 1st",Mon 27 Jan 05:31:53 PM,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-studio-stainless/7064245800.html,0BR / 1Ba
$3100,Brookline - Washington Square,"2Bed, 2Bath, Includes H/HW & Parking, Central AC, HWF, Great Location",Mon 27 Jan 05:23:33 PM,https://boston.craigslist.org/gbs/apa/d/brookline-village-2bed-2bath-includes/7064240154.html,2BR / 2Ba
$1850,Medford,Medford 2BR near Tufts - Electric included!,Mon 27 Jan 05:18:51 PM,https://boston.craigslist.org/nos/apa/d/medford-medford-2br-near-tufts-electric/7064237025.html,1000ft2
$2500,"Canton, MA",2BR & 2BA Condo (Canton),Mon 27 Jan 05:16:29 PM,https://boston.craigslist.org/sob/apa/d/canton-2br-2ba-condo-canton/7064235445.html,2BR / 2Ba
$1900,"SALEM STREET, MALDEN","***NICE 2 BEDROOM - FREE HEAT INC*** 1ST FLOOR, LAUNDRY H/U, PKG",Mon 27 Jan 05:14:51 PM,https://boston.craigslist.org/nos/apa/d/malden-nice-2-bedroom-free-heat-inc-1st/7064234251.html,2BR / 1Ba
$2600,"Revere, MA",No Fee. Available February 1. Fully renovated apartment (32C3),Mon 27 Jan 05:11:35 PM,https://boston.craigslist.org/gbs/apa/d/revere-no-fee-available-february-1/7064232008.html,4BR / 2Ba
$1725,South Weymouth,AMAZING Weymouth HIGH END Studio **LOW Move In Costs**,Mon 27 Jan 05:08:51 PM,https://boston.craigslist.org/sob/apa/d/south-weymouth-amazing-weymouth-high/7064230070.html,1BR / 1Ba
$1809,,"New Year NEW Home! 2 miles from Boston, Luxury Living,",Mon 27 Jan 05:05:43 PM,https://boston.craigslist.org/gbs/apa/d/chelsea-new-year-new-home-2-miles-from/7064227840.html,1BR / 1Ba
$1775,,"☆ The Charles Bellingham in Bellingham, Theater room, Ceiling Fans",Mon 27 Jan 05:01:34 PM,https://boston.craigslist.org/bmw/apa/d/bellingham-the-charles-bellingham-in/7064224898.html,2BR / 2Ba
$2000,Everett,3 Bed 1bath Apartment with Parking near Memorial Stadium,Mon 27 Jan 04:50:21 PM,https://boston.craigslist.org/gbs/apa/d/everett-3-bed-1bath-apartment-with/7064216946.html,3BR / 1Ba
$2495,Newburyport,Fully Furnished / Month to Month or Long Term,Mon 27 Jan 04:39:54 PM,https://boston.craigslist.org/nos/apa/d/newburyport-fully-furnished-month-to/7064209250.html,2BR / 1Ba
$1350,West Roxbury,Sunny and spacious West Roxbury 1bed apt with heat/hw INCLUDED~1Parkng,Mon 27 Jan 04:34:09 PM,https://boston.craigslist.org/gbs/apa/d/dedham-sunny-and-spacious-west-roxbury/7064204974.html,1BR / 1Ba
$1550,Amesbury Ma,2 Bedroom Apartment,Mon 27 Jan 04:31:27 PM,https://boston.craigslist.org/nwb/apa/d/amesbury-2-bedroom-apartment/7064202919.html,2BR / 1Ba
$1150,,BRIDGEWATER 1 Bedroom Includes Heat and Hot Water!,Mon 27 Jan 04:23:43 PM,https://boston.craigslist.org/sob/apa/d/bridgewater-bridgewater-1-bedroom/7064197201.html,1BR / 1Ba
$2151,"Malden, MA",REMODELED 2BD 2BATH- available 03/01/20,Mon 27 Jan 04:22:58 PM,https://boston.craigslist.org/gbs/apa/d/everett-remodeled-2bd-2bath-available/7064196643.html,2BR / 2Ba
$2650,Malden,Malden...NO FEE..3 Bedroom all new for February!,Mon 27 Jan 04:16:39 PM,https://boston.craigslist.org/gbs/apa/d/malden-maldenno-fee3-bedroom-all-new/7064192121.html,3BR / 1Ba
$2750,Malden,Malden...NO FEE..3 Bedroom all new for February!,Mon 27 Jan 04:09:04 PM,https://boston.craigslist.org/gbs/apa/d/malden-maldenno-fee3-bedroom-all-new/7064186272.html,3BR / 2Ba
$2950,Back Bay,Back Bay Large Spacious Front Facing 1 Bedroom Pet Friendly -mb,Mon 27 Jan 04:08:30 PM,https://boston.craigslist.org/gbs/apa/d/boston-back-bay-large-spacious-front/7064185871.html,1BR / 1Ba
$2000,Dedham,Two bedroom near waterfront park,Mon 27 Jan 04:02:36 PM,https://boston.craigslist.org/gbs/apa/d/dedham-two-bedroom-near-waterfront-park/7064181360.html,2BR / 1Ba
$2850,North End,Sunlit North End 2 bedroom available NOW,Mon 27 Jan 04:01:41 PM,https://boston.craigslist.org/gbs/apa/d/boston-sunlit-north-end-2-bedroom/7064180704.html,2BR / 1Ba
$2450,West Newbury,"Newburyport area,  West Newbury 3 bdrm 2 bath Cape",Mon 27 Jan 04:00:36 PM,https://boston.craigslist.org/nos/apa/d/west-newbury-newburyport-area-west/7064179825.html,3BR / 2Ba
$1700,"Hull, MA",Seasonal rental Labor Day through May 2021,Mon 27 Jan 03:59:19 PM,https://boston.craigslist.org/sob/apa/d/hull-seasonal-rental-labor-day-through/7064178734.html,4BR / 2Ba
$1810,Abington,TWO BEDROOM APARTMENT FOR RENT - THE CLAREMONT,Mon 27 Jan 03:55:10 PM,https://boston.craigslist.org/sob/apa/d/holbrook-two-bedroom-apartment-for-rent/7064175586.html,2BR / 1Ba
$2450,Cambridge - Harvard Square,"3/1 Cambridge Harvard SQ large one bed,, living, hrd firs, heated",Mon 27 Jan 03:53:57 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-3-1-cambridge-harvard-sq/7064174628.html,1BR / 1Ba
$2093,Woburn,"Clubhouse, Pet friendly, Dishwasher, Premium cabinetry, Bay windows",Mon 27 Jan 03:52:07 PM,https://boston.craigslist.org/nos/apa/d/woburn-clubhouse-pet-friendly/7064173279.html,1BR / 1Ba
$2900,Malden,Malden...NO FEE..3 Bedroom all new for February!,Mon 27 Jan 03:50:40 PM,https://boston.craigslist.org/gbs/apa/d/malden-maldenno-fee3-bedroom-all-new/7064172203.html,3BR / 1Ba
$2698,"Peabody, MA","Private outdoor living space, GuestRoom, Loft-style homes, Garages",Mon 27 Jan 03:48:00 PM,https://boston.craigslist.org/nos/apa/d/peabody-private-outdoor-living-space/7064170207.html,3BR / 2Ba
$1822,,"֍ Tewksbury apartment for rent, Private Balcony or Patio, Playground",Mon 27 Jan 03:45:03 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-tewksbury-apartment-for-rent/7064167979.html,2BR / 2Ba
$2799,Norwood,"Sundeck, Volleyball courts, Washer and Dryer Connections, Dryer, Heat",Mon 27 Jan 03:41:29 PM,https://boston.craigslist.org/sob/apa/d/norwood-sundeck-volleyball-courts/7064165548.html,3BR / 2Ba
$2109,,"2 miles from Boston, Luxury Living, 1 block from SL3, Pet Friendly",Mon 27 Jan 03:36:11 PM,https://boston.craigslist.org/gbs/apa/d/chelsea-2-miles-from-boston-luxury/7064161539.html,2BR / 1Ba
$6574,Boston,"Private courtyard with spectacular landscaping, Vintage, Terrace",Mon 27 Jan 03:30:41 PM,https://boston.craigslist.org/gbs/apa/d/boston-private-courtyard-with/7064157336.html,3BR / 2Ba
$1812,,"❄ Apartments in Tewksbury, Spacious relaxation area, Playground",Mon 27 Jan 03:28:38 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-apartments-in-tewksbury/7064155726.html,2BR / 2Ba
$1750,Needham,"1.5BR Apartment for Rent, Needham $1750/mo",Mon 27 Jan 03:28:09 PM,https://boston.craigslist.org/bmw/apa/d/needham-heights-15br-apartment-for-rent/7064155338.html,1BR / 1Ba
$1787,,"☀ Tewksbury apartment for rent, Spacious living areas, Linen closets",Mon 27 Jan 03:25:51 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-tewksbury-apartment-for-rent/7064153509.html,1BR / 1Ba
$1750,Needham,"2/1.5BR Apartment for Rent, Needham $1750/mo",Mon 27 Jan 03:25:16 PM,https://boston.craigslist.org/bmw/apa/d/needham-heights-2-15br-apartment-for/7064153071.html,2BR / 1Ba
$4040,Boston,"Pet wash station, Full-size washer and dryer, Soaking tub, Flex wall",Mon 27 Jan 03:23:19 PM,https://boston.craigslist.org/gbs/apa/d/boston-pet-wash-station-full-size/7064151558.html,1BR / 1Ba
$1090,Dorchester,One bedroom apartment,Mon 27 Jan 03:22:32 PM,https://boston.craigslist.org/gbs/apa/d/dorchester-center-one-bedroom-apartment/7064150969.html,1BR / 1Ba
$1650,Allston,Allston large studio/one bedroom for rent!,Mon 27 Jan 03:20:19 PM,https://boston.craigslist.org/gbs/apa/d/allston-allston-large-studio-one/7064149282.html,1BR / 1Ba
$2050,Bridgewater,Two Bed/Two Bath*,Mon 27 Jan 03:12:46 PM,https://boston.craigslist.org/gbs/apa/d/bridgewater-two-bed-two-bath/7064143493.html,2BR / 2Ba
$1987,,"♥ Tewksbury Apartment Homes, Spacious living areas, Billiards Area",Mon 27 Jan 02:56:27 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-tewksbury-apartment-homes/7064130291.html,2BR / 2Ba
$1150,CAMBRIDGE,ROOM/ DAVIS SQ/REDLINE/ HEAT AND PARKING INC/ HARVARD/MIT,Mon 27 Jan 02:55:33 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-room-davis-sq-redline-heat/7064129525.html,1BR / 1Ba
$3300,Back Bay,Gorgeous 1 Bed Penthouse on Marlborough St w/ Private Deck!,Mon 27 Jan 02:55:15 PM,https://boston.craigslist.org/gbs/apa/d/boston-gorgeous-1-bed-penthouse-on/7064129245.html,1BR / 1Ba
$2262,,"☆ Apartment Home in Tewksbury, Linen closets, 24 Hour Package Service",Mon 27 Jan 02:54:45 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-apartment-home-in-tewksbury/7064128840.html,3BR / 2Ba
$1920,North shore/Boston/Saugus,"♥ Spacious apartments in SAUGUS, Generous Closet Space",Mon 27 Jan 02:41:46 PM,https://boston.craigslist.org/nos/apa/d/saugus-spacious-apartments-in-saugus/7064119451.html,1BR / 1Ba
$2100,North shore/Boston/Saugus,BLOW OUT RATES,Mon 27 Jan 02:36:46 PM,https://boston.craigslist.org/nos/apa/d/saugus-blow-out-rates/7064115494.html,1BR / 1Ba
$2435,NorthShore/Boston/Saugus,"☀ SAUGUS apartment for rent, Newly Renovated Units, Central A/C",Mon 27 Jan 02:35:46 PM,https://boston.craigslist.org/nos/apa/d/saugus-saugus-apartment-for-rent-newly/7064114662.html,2BR / 2Ba
$1000,Boston,Affordable Back Bay Studio Apt - Right off Newbury St,Mon 27 Jan 02:33:45 PM,https://boston.craigslist.org/gbs/apa/d/boston-affordable-back-bay-studio-apt/7064112881.html,0BR / 1Ba
$1950,Watertown,"Stunning 2 br 1ba 1st fl Natural WW, FP, HW W&D 1 CAR Bus to HVD 3/1",Mon 27 Jan 02:24:56 PM,https://boston.craigslist.org/gbs/apa/d/watertown-stunning-2-br-1ba-1st-fl/7064105548.html,2BR / 1Ba
$300,Somerville,Artist Studio in the Heart Union Square Somerville - Available Now!,Mon 27 Jan 02:18:30 PM,https://boston.craigslist.org/gbs/apa/d/roslindale-artist-studio-in-the-heart/7064100195.html,
$1850,"200 Mountain Ave, Malden",1 Bedroom - No Fee! Available 2/1,Mon 27 Jan 02:12:35 PM,https://boston.craigslist.org/gbs/apa/d/brookline-1-bedroom-no-fee-available-2-1/7064095286.html,1BR / 1Ba
$1925,,"☆ Apartment Home in Bellingham, Barbeque Area, Community dining area",Mon 27 Jan 02:08:14 PM,https://boston.craigslist.org/bmw/apa/d/bellingham-apartment-home-in-bellingham/7064091582.html,1BR / 1Ba
$1750,Newton Highlands,No Broker Fee: 1 bedroom with nice covered deck,Mon 27 Jan 02:04:05 PM,https://boston.craigslist.org/bmw/apa/d/newton-highlands-no-broker-fee-1/7064088055.html,
$1000,Whitman,1 Bedroom Apartment,Mon 27 Jan 01:55:30 PM,https://boston.craigslist.org/sob/apa/d/whitman-1-bedroom-apartment/7064080534.html,1BR / 1Ba
$1950,"Back Bay, Prudential, Copley, Downtown","COMM AVE - RARE LUXURY STUDIO W/ ROOF DECK! LNDRY, 6/1",Mon 27 Jan 01:47:12 PM,https://boston.craigslist.org/gbs/apa/d/boston-comm-ave-rare-luxury-studio-roof/7064073512.html,0BR / 1Ba
$1900,Natick,2 Bedroom/1 Bath in 2 Family Home,Mon 27 Jan 01:44:21 PM,https://boston.craigslist.org/nwb/apa/d/natick-2-bedroom-1-bath-in-2-family-home/7064071047.html,2BR / 1Ba
$1350,Woburn,"1br Apt near High Tech Beltway, mile from I-95",Mon 27 Jan 01:42:32 PM,https://boston.craigslist.org/nos/apa/d/woburn-1br-apt-near-high-tech-beltway/7064069444.html,1BR / 1Ba
$1809,,"2 miles from Boston, Commuters Dream, Luxury living, pet friendly",Mon 27 Jan 01:39:48 PM,https://boston.craigslist.org/gbs/apa/d/chelsea-2-miles-from-boston-commuters/7064067047.html,1BR / 1Ba
$4000,Boston College (caltha Road),"9/1, 4beds, By-T, 5mints walk to Boston College Campus",Mon 27 Jan 01:36:11 PM,https://boston.craigslist.org/gbs/apa/d/brighton-9-1-4beds-by-5mints-walk-to/7064063963.html,4BR / 1Ba
$1695,Fenway,Studio in Great Fenway location!! Avail. June 1!!,Mon 27 Jan 01:31:44 PM,https://boston.craigslist.org/gbs/apa/d/boston-studio-in-great-fenway-location/7064060101.html,0BR / 1Ba
$4400,Cambridge,WALK to CENTRAL / MIT / KENDALL SUNNY UNIT LARGE ROOMS SEP 1,Mon 27 Jan 01:28:26 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-walk-to-central-mit-kendall/7064057336.html,4BR / 1Ba
$1850,Allston,"Cool Kelton St. 1BD, Near Green Line, hdwd flrs, Near Corey Hill",Mon 27 Jan 01:27:32 PM,https://boston.craigslist.org/gbs/apa/d/brookline-cool-kelton-st-1bd-near-green/7064056579.html,1BR / 1Ba
$1000,North Attleboro,1st Flr 1 Bdrm – PERFECT LOCA,Mon 27 Jan 01:18:04 PM,https://boston.craigslist.org/gbs/apa/d/north-attleboro-1st-flr-1-bdrm-perfect/7064048379.html,1BR / 0Ba
$1695,Cambridge,Brand New Furnished Room for rent in Cambridge!Red line close by!!!!!!,Mon 27 Jan 01:09:44 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-brand-new-furnished-room-for/7064041549.html,1BR / 1Ba
$2600,South End - Back Bay,Furnished with EIK -  March 1,Mon 27 Jan 01:09:30 PM,https://boston.craigslist.org/gbs/apa/d/boston-furnished-with-eik-march-1/7064041348.html,1BR / 1Ba
$2400,Newton -ville near Charles River,"Top floor: just renovated: New Kitchen, baths, floors: Avail. Now!",Mon 27 Jan 01:01:43 PM,https://boston.craigslist.org/bmw/apa/d/waltham-top-floor-just-renovated-new/7064034600.html,2BR / 2Ba
$2375,North Andover,Brand New! Never Been Lived In! Great Location! **1st Month Free!!**,Mon 27 Jan 12:50:28 PM,https://boston.craigslist.org/nwb/apa/d/north-andover-brand-new-never-been/7064024994.html,2BR / 2Ba
$3200,Boston,2 Bed split on Charlesgate for 9/1/2020,Mon 27 Jan 12:47:06 PM,https://boston.craigslist.org/gbs/apa/d/boston-2-bed-split-on-charlesgate-for/7064022147.html,
$2600,Boston,No FEE - North End- 2 BDRM DUPLEX - AVAIL. 7/1,Mon 27 Jan 12:38:14 PM,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-north-end-2-bdrm-duplex/7064014637.html,
$1800,N. Framingham,1 bedroom,Mon 27 Jan 12:36:20 PM,https://boston.craigslist.org/bmw/apa/d/framingham-1-bedroom/7064013010.html,1BR / 1Ba
$3500,"Fenway, Longwood, Simmons, Emmanuel, NEU","EDGERLY RD - SPACIOUS MODERN 2BD  LNDRY IN UNIT, STUDENT OK, 9/1/19",Mon 27 Jan 12:24:56 PM,https://boston.craigslist.org/gbs/apa/d/boston-edgerly-rd-spacious-modern-2bd/7064002927.html,2BR / 1Ba
$1550,Melrose,"FEB 1 or FEB 15 - Sunny One Bedroom, Walk to Highlands MBTA",Mon 27 Jan 12:23:47 PM,https://boston.craigslist.org/nos/apa/d/melrose-feb-1-or-feb-15-sunny-one/7064001848.html,1BR / 1Ba
$6000,Newton Centre,Newton Classic Tudor House Available July,Mon 27 Jan 12:20:55 PM,https://boston.craigslist.org/gbs/apa/d/nonantum-newton-classic-tudor-house/7063999422.html,4BR / 3.5Ba
$3800,Boston,NO FEE - North End - Spacious 2 BDRM - AVAIL 8/1,Mon 27 Jan 12:17:39 PM,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-north-end-spacious-2-bdrm/7063996454.html,
$4000,"Cambridge, Kendall Square, Central Squar",PLYMOUTH ST - HUGE 4 BED BETWEEN KENDALL & INMAN NEAR RED LINE!,Mon 27 Jan 12:10:21 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-plymouth-st-huge-4-bed/7063989973.html,4BR / 2Ba
$1950,Swampscott,Beautiful private guest house 1BD 1BA utilities included,Mon 27 Jan 12:10:09 PM,https://boston.craigslist.org/nos/apa/d/swampscott-beautiful-private-guest/7063989798.html,1BR / 1Ba
$1863,Braintree,"Furnished apartments available, Upgraded espresso cabinetry, Dog park",Mon 27 Jan 12:01:35 PM,https://boston.craigslist.org/sob/apa/d/braintree-furnished-apartments/7063981942.html,1BR / 1Ba
$2737,Waltham,"Balcony, BBQ grills, FITNESS on Demand, Air conditioning, Soaking tub",Mon 27 Jan 11:59:13 AM,https://boston.craigslist.org/bmw/apa/d/waltham-balcony-bbq-grills-fitness-on/7063979717.html,2BR / 2Ba
$3500,BROOKLINE *Coolidge Corner*,Coolidge Corner-Huge BROOKLINE 3br+Office/2BATH~HEAT/HW INCL~Deck~Pkng,Mon 27 Jan 11:52:39 AM,https://boston.craigslist.org/gbs/apa/d/brookline-coolidge-corner-huge/7063974289.html,3BR / 2Ba
$3800,"Cambridge, Kendall Square, Inman Square","Huge Plymouth St. 3 bd DUPLEX, Parking, Laundry, No Pets, Avail 9/1/20",Mon 27 Jan 11:46:49 AM,https://boston.craigslist.org/gbs/apa/d/cambridge-huge-plymouth-st-3-bd-duplex/7063969263.html,3BR / 1Ba
